model,prompt,project,run,requests,total_runtime_sec,avg_runtime_sec_per_request,source_file
deepseek-v4-flash,prompt1_zeroshot,mesos,3,336,302.41580000000005,0.900047023809524,../Result/deepseek_v4_flash_prompt1_zeroshot_v7/mesos_deepseek_v4_flash_prompt1_zeroshot_v7.csv
deepseek-v4-flash,prompt1_zeroshot,mesos,4,336,300.73159999999996,0.8950345238095236,../Result/deepseek_v4_flash_prompt1_zeroshot_v7/mesos_deepseek_v4_flash_prompt1_zeroshot_v7.csv
deepseek-v4-flash,prompt1_zeroshot,mesos,5,336,300.8035,0.8952485119047618,../Result/deepseek_v4_flash_prompt1_zeroshot_v7/mesos_deepseek_v4_flash_prompt1_zeroshot_v7.csv
deepseek-v4-flash,prompt1_zeroshot,moodle,1,234,212.9674,0.910117094017094,../Result/deepseek_v4_flash_prompt1_zeroshot_v7/moodle_deepseek_v4_flash_prompt1_zeroshot_v7.csv
deepseek-v4-flash,prompt1_zeroshot,moodle,2,234,210.85899999999998,0.9011068376068375,../Result/deepseek_v4_flash_prompt1_zeroshot_v7/moodle_deepseek_v4_flash_prompt1_zeroshot_v7.csv
deepseek-v4-flash,prompt1_zeroshot,moodle,3,234,213.20409999999998,0.9111286324786324,../Result/deepseek_v4_flash_prompt1_zeroshot_v7/moodle_deepseek_v4_flash_prompt1_zeroshot_v7.csv
deepseek-v4-flash,prompt1_zeroshot,moodle,4,234,207.1504,0.8852581196581196,../Result/deepseek_v4_flash_prompt1_zeroshot_v7/moodle_deepseek_v4_flash_prompt1_zeroshot_v7.csv
deepseek-v4-flash,prompt1_zeroshot,moodle,5,234,209.8429,0.8967645299145298,../Result/deepseek_v4_flash_prompt1_zeroshot_v7/moodle_deepseek_v4_flash_prompt1_zeroshot_v7.csv
deepseek-v4-flash,prompt1_zeroshot,mule,1,178,158.4762,0.8903157303370787,../Result/deepseek_v4_flash_prompt1_zeroshot_v7/mule_deepseek_v4_flash_prompt1_zeroshot_v7.csv
deepseek-v4-flash,prompt1_zeroshot,mule,2,178,182.22320000000002,1.0237258426966294,../Result/deepseek_v4_flash_prompt1_zeroshot_v7/mule_deepseek_v4_flash_prompt1_zeroshot_v7.csv
deepseek-v4-flash,prompt1_zeroshot,mule,3,178,173.2456,0.9732898876404494,../Result/deepseek_v4_flash_prompt1_zeroshot_v7/mule_deepseek_v4_flash_prompt1_zeroshot_v7.csv
deepseek-v4-flash,prompt1_zeroshot,mule,4,178,158.8299,0.8923028089887641,../Result/deepseek_v4_flash_prompt1_zeroshot_v7/mule_deepseek_v4_flash_prompt1_zeroshot_v7.csv
deepseek-v4-flash,prompt1_zeroshot,mule,5,178,155.2874,0.8724011235955056,../Result/deepseek_v4_flash_prompt1_zeroshot_v7/mule_deepseek_v4_flash_prompt1_zeroshot_v7.csv
deepseek-v4-flash,prompt1_zeroshot,mulestudio,1,147,129.5038,0.8809782312925171,../Result/deepseek_v4_flash_prompt1_zeroshot_v7/mulestudio_deepseek_v4_flash_prompt1_zeroshot_v7.csv
deepseek-v4-flash,prompt1_zeroshot,mulestudio,2,147,129.5225,0.8811054421768708,../Result/deepseek_v4_flash_prompt1_zeroshot_v7/mulestudio_deepseek_v4_flash_prompt1_zeroshot_v7.csv
deepseek-v4-flash,prompt1_zeroshot,mulestudio,3,147,127.54249999999999,0.8676360544217686,../Result/deepseek_v4_flash_prompt1_zeroshot_v7/mulestudio_deepseek_v4_flash_prompt1_zeroshot_v7.csv
deepseek-v4-flash,prompt1_zeroshot,mulestudio,4,147,127.73410000000001,0.868939455782313,../Result/deepseek_v4_flash_prompt1_zeroshot_v7/mulestudio_deepseek_v4_flash_prompt1_zeroshot_v7.csv
deepseek-v4-flash,prompt1_zeroshot,mulestudio,5,147,127.6192,0.8681578231292517,../Result/deepseek_v4_flash_prompt1_zeroshot_v7/mulestudio_deepseek_v4_flash_prompt1_zeroshot_v7.csv
deepseek-v4-flash,prompt1_zeroshot,springxd,1,706,609.1237000000001,0.8627814447592069,../Result/deepseek_v4_flash_prompt1_zeroshot_v7/springxd_deepseek_v4_flash_prompt1_zeroshot_v7.csv
deepseek-v4-flash,prompt1_zeroshot,springxd,2,706,617.4384,0.8745586402266289,../Result/deepseek_v4_flash_prompt1_zeroshot_v7/springxd_deepseek_v4_flash_prompt1_zeroshot_v7.csv
deepseek-v4-flash,prompt1_zeroshot,springxd,3,706,617.1175000000001,0.8741041076487253,../Result/deepseek_v4_flash_prompt1_zeroshot_v7/springxd_deepseek_v4_flash_prompt1_zeroshot_v7.csv
deepseek-v4-flash,prompt1_zeroshot,springxd,4,706,616.0324,0.8725671388101984,../Result/deepseek_v4_flash_prompt1_zeroshot_v7/springxd_deepseek_v4_flash_prompt1_zeroshot_v7.csv
deepseek-v4-flash,prompt1_zeroshot,springxd,5,706,610.4223,0.864620821529745,../Result/deepseek_v4_flash_prompt1_zeroshot_v7/springxd_deepseek_v4_flash_prompt1_zeroshot_v7.csv
deepseek-v4-flash,prompt1_zeroshot,talenddataquality,1,277,239.2724,0.8637992779783393,../Result/deepseek_v4_flash_prompt1_zeroshot_v7/talenddataquality_deepseek_v4_flash_prompt1_zeroshot_v7.csv
deepseek-v4-flash,prompt1_zeroshot,talenddataquality,2,277,238.35320000000002,0.8604808664259929,../Result/deepseek_v4_flash_prompt1_zeroshot_v7/talenddataquality_deepseek_v4_flash_prompt1_zeroshot_v7.csv
deepseek-v4-flash,prompt1_zeroshot,talenddataquality,3,277,241.6703,0.8724559566787004,../Result/deepseek_v4_flash_prompt1_zeroshot_v7/talenddataquality_deepseek_v4_flash_prompt1_zeroshot_v7.csv
deepseek-v4-flash,prompt1_zeroshot,talenddataquality,4,277,239.97760000000002,0.8663451263537907,../Result/deepseek_v4_flash_prompt1_zeroshot_v7/talenddataquality_deepseek_v4_flash_prompt1_zeroshot_v7.csv
deepseek-v4-flash,prompt1_zeroshot,talenddataquality,5,277,234.69740000000002,0.8472830324909748,../Result/deepseek_v4_flash_prompt1_zeroshot_v7/talenddataquality_deepseek_v4_flash_prompt1_zeroshot_v7.csv
deepseek-v4-flash,prompt1_zeroshot,talendesb,1,174,149.1098,0.8569528735632185,../Result/deepseek_v4_flash_prompt1_zeroshot_v7/talendesb_deepseek_v4_flash_prompt1_zeroshot_v7.csv
deepseek-v4-flash,prompt1_zeroshot,talendesb,2,174,148.9112,0.8558114942528736,../Result/deepseek_v4_flash_prompt1_zeroshot_v7/talendesb_deepseek_v4_flash_prompt1_zeroshot_v7.csv
deepseek-v4-flash,prompt1_zeroshot,talendesb,3,174,151.9824,0.8734620689655174,../Result/deepseek_v4_flash_prompt1_zeroshot_v7/talendesb_deepseek_v4_flash_prompt1_zeroshot_v7.csv
deepseek-v4-flash,prompt1_zeroshot,talendesb,4,174,147.5913,0.8482258620689654,../Result/deepseek_v4_flash_prompt1_zeroshot_v7/talendesb_deepseek_v4_flash_prompt1_zeroshot_v7.csv
deepseek-v4-flash,prompt1_zeroshot,talendesb,5,174,147.15,0.8456896551724138,../Result/deepseek_v4_flash_prompt1_zeroshot_v7/talendesb_deepseek_v4_flash_prompt1_zeroshot_v7.csv
deepseek-v4-flash,prompt1_zeroshot,titanium,1,451,381.60119999999995,0.8461223946784922,../Result/deepseek_v4_flash_prompt1_zeroshot_v7/titanium_deepseek_v4_flash_prompt1_zeroshot_v7.csv
deepseek-v4-flash,prompt1_zeroshot,titanium,2,451,385.2242,0.8541556541019956,../Result/deepseek_v4_flash_prompt1_zeroshot_v7/titanium_deepseek_v4_flash_prompt1_zeroshot_v7.csv
deepseek-v4-flash,prompt1_zeroshot,titanium,3,451,382.4391,0.847980266075388,../Result/deepseek_v4_flash_prompt1_zeroshot_v7/titanium_deepseek_v4_flash_prompt1_zeroshot_v7.csv
deepseek-v4-flash,prompt1_zeroshot,titanium,4,451,384.90020000000004,0.8534372505543238,../Result/deepseek_v4_flash_prompt1_zeroshot_v7/titanium_deepseek_v4_flash_prompt1_zeroshot_v7.csv
deepseek-v4-flash,prompt1_zeroshot,titanium,5,451,378.1314,0.8384288248337028,../Result/deepseek_v4_flash_prompt1_zeroshot_v7/titanium_deepseek_v4_flash_prompt1_zeroshot_v7.csv
deepseek-v4-flash,prompt1_zeroshot,usergrid,1,97,80.75610000000002,0.832537113402062,../Result/deepseek_v4_flash_prompt1_zeroshot_v7/usergrid_deepseek_v4_flash_prompt1_zeroshot_v7.csv
deepseek-v4-flash,prompt1_zeroshot,usergrid,2,97,81.8329,0.8436381443298968,../Result/deepseek_v4_flash_prompt1_zeroshot_v7/usergrid_deepseek_v4_flash_prompt1_zeroshot_v7.csv
deepseek-v4-flash,prompt1_zeroshot,usergrid,3,97,81.31830000000001,0.8383329896907217,../Result/deepseek_v4_flash_prompt1_zeroshot_v7/usergrid_deepseek_v4_flash_prompt1_zeroshot_v7.csv
deepseek-v4-flash,prompt1_zeroshot,usergrid,4,97,80.4816,0.8297072164948454,../Result/deepseek_v4_flash_prompt1_zeroshot_v7/usergrid_deepseek_v4_flash_prompt1_zeroshot_v7.csv
deepseek-v4-flash,prompt1_zeroshot,usergrid,5,97,80.6794,0.8317463917525774,../Result/deepseek_v4_flash_prompt1_zeroshot_v7/usergrid_deepseek_v4_flash_prompt1_zeroshot_v7.csv
deepseek-v4-flash,prompt2_scale,appceleratorstudio,1,584,854.0062,1.4623393835616438,../Result/deepseek_v4_flash_prompt2_fewshot_scale_v7/appceleratorstudio_deepseek_v4_flash_prompt2_fewshot_scale_v7.csv
deepseek-v4-flash,prompt2_scale,appceleratorstudio,2,584,707.6261,1.2116885273972602,../Result/deepseek_v4_flash_prompt2_fewshot_scale_v7/appceleratorstudio_deepseek_v4_flash_prompt2_fewshot_scale_v7.csv
deepseek-v4-flash,prompt2_scale,appceleratorstudio,3,584,685.3409,1.1735289383561645,../Result/deepseek_v4_flash_prompt2_fewshot_scale_v7/appceleratorstudio_deepseek_v4_flash_prompt2_fewshot_scale_v7.csv
deepseek-v4-flash,prompt2_scale,appceleratorstudio,4,584,707.6169,1.2116727739726028,../Result/deepseek_v4_flash_prompt2_fewshot_scale_v7/appceleratorstudio_deepseek_v4_flash_prompt2_fewshot_scale_v7.csv
deepseek-v4-flash,prompt2_scale,appceleratorstudio,5,584,686.6077,1.1756981164383562,../Result/deepseek_v4_flash_prompt2_fewshot_scale_v7/appceleratorstudio_deepseek_v4_flash_prompt2_fewshot_scale_v7.csv
deepseek-v4-flash,prompt2_scale,aptanastudio,1,166,261.31230000000005,1.5741704819277111,../Result/deepseek_v4_flash_prompt2_fewshot_scale_v7/aptanastudio_deepseek_v4_flash_prompt2_fewshot_scale_v7.csv
deepseek-v4-flash,prompt2_scale,aptanastudio,2,166,186.23539999999997,1.1219,../Result/deepseek_v4_flash_prompt2_fewshot_scale_v7/aptanastudio_deepseek_v4_flash_prompt2_fewshot_scale_v7.csv
deepseek-v4-flash,prompt2_scale,aptanastudio,3,166,200.6197,1.2085524096385543,../Result/deepseek_v4_flash_prompt2_fewshot_scale_v7/aptanastudio_deepseek_v4_flash_prompt2_fewshot_scale_v7.csv
deepseek-v4-flash,prompt2_scale,aptanastudio,4,166,189.8371,1.143596987951807,../Result/deepseek_v4_flash_prompt2_fewshot_scale_v7/aptanastudio_deepseek_v4_flash_prompt2_fewshot_scale_v7.csv
deepseek-v4-flash,prompt2_scale,aptanastudio,5,166,179.59180000000003,1.0818783132530123,../Result/deepseek_v4_flash_prompt2_fewshot_scale_v7/aptanastudio_deepseek_v4_flash_prompt2_fewshot_scale_v7.csv
deepseek-v4-flash,prompt2_scale,bamboo,1,105,117.0845,1.1150904761904763,../Result/deepseek_v4_flash_prompt2_fewshot_scale_v7/bamboo_deepseek_v4_flash_prompt2_fewshot_scale_v7.csv
deepseek-v4-flash,prompt2_scale,bamboo,2,105,120.65339999999999,1.1490799999999999,../Result/deepseek_v4_flash_prompt2_fewshot_scale_v7/bamboo_deepseek_v4_flash_prompt2_fewshot_scale_v7.csv
deepseek-v4-flash,prompt2_scale,bamboo,3,105,114.83250000000001,1.0936428571428571,../Result/deepseek_v4_flash_prompt2_fewshot_scale_v7/bamboo_deepseek_v4_flash_prompt2_fewshot_scale_v7.csv
deepseek-v4-flash,prompt2_scale,bamboo,4,105,115.613,1.1010761904761905,../Result/deepseek_v4_flash_prompt2_fewshot_scale_v7/bamboo_deepseek_v4_flash_prompt2_fewshot_scale_v7.csv
deepseek-v4-flash,prompt2_scale,bamboo,5,105,117.4639,1.1187038095238095,../Result/deepseek_v4_flash_prompt2_fewshot_scale_v7/bamboo_deepseek_v4_flash_prompt2_fewshot_scale_v7.csv
deepseek-v4-flash,prompt2_scale,clover,1,77,88.49199999999999,1.1492467532467532,../Result/deepseek_v4_flash_prompt2_fewshot_scale_v7/clover_deepseek_v4_flash_prompt2_fewshot_scale_v7.csv
deepseek-v4-flash,prompt2_scale,clover,2,77,83.5331,1.0848454545454547,../Result/deepseek_v4_flash_prompt2_fewshot_scale_v7/clover_deepseek_v4_flash_prompt2_fewshot_scale_v7.csv
deepseek-v4-flash,prompt2_scale,clover,3,77,84.49260000000001,1.0973064935064936,../Result/deepseek_v4_flash_prompt2_fewshot_scale_v7/clover_deepseek_v4_flash_prompt2_fewshot_scale_v7.csv
deepseek-v4-flash,prompt2_scale,clover,4,77,83.6176,1.085942857142857,../Result/deepseek_v4_flash_prompt2_fewshot_scale_v7/clover_deepseek_v4_flash_prompt2_fewshot_scale_v7.csv
deepseek-v4-flash,prompt2_scale,clover,5,77,81.47109999999998,1.0580662337662334,../Result/deepseek_v4_flash_prompt2_fewshot_scale_v7/clover_deepseek_v4_flash_prompt2_fewshot_scale_v7.csv
deepseek-v4-flash,prompt2_scale,datamanagement,1,934,1008.7295999999999,1.080010278372591,../Result/deepseek_v4_flash_prompt2_fewshot_scale_v7/datamanagement_deepseek_v4_flash_prompt2_fewshot_scale_v7.csv
deepseek-v4-flash,prompt2_scale,datamanagement,2,934,1069.7582,1.145351391862955,../Result/deepseek_v4_flash_prompt2_fewshot_scale_v7/datamanagement_deepseek_v4_flash_prompt2_fewshot_scale_v7.csv
deepseek-v4-flash,prompt2_scale,datamanagement,3,934,1088.0974,1.1649865096359744,../Result/deepseek_v4_flash_prompt2_fewshot_scale_v7/datamanagement_deepseek_v4_flash_prompt2_fewshot_scale_v7.csv
deepseek-v4-flash,prompt2_scale,datamanagement,4,934,1016.5531,1.0883866167023555,../Result/deepseek_v4_flash_prompt2_fewshot_scale_v7/datamanagement_deepseek_v4_flash_prompt2_fewshot_scale_v7.csv
deepseek-v4-flash,prompt2_scale,datamanagement,5,934,980.0737,1.049329443254818,../Result/deepseek_v4_flash_prompt2_fewshot_scale_v7/datamanagement_deepseek_v4_flash_prompt2_fewshot_scale_v7.csv
deepseek-v4-flash,prompt2_scale,duracloud,1,134,139.30289999999997,1.0395738805970147,../Result/deepseek_v4_flash_prompt2_fewshot_scale_v7/duracloud_deepseek_v4_flash_prompt2_fewshot_scale_v7.csv
deepseek-v4-flash,prompt2_scale,duracloud,2,134,136.10089999999997,1.015678358208955,../Result/deepseek_v4_flash_prompt2_fewshot_scale_v7/duracloud_deepseek_v4_flash_prompt2_fewshot_scale_v7.csv
deepseek-v4-flash,prompt2_scale,duracloud,3,134,136.90949999999998,1.021712686567164,../Result/deepseek_v4_flash_prompt2_fewshot_scale_v7/duracloud_deepseek_v4_flash_prompt2_fewshot_scale_v7.csv
deepseek-v4-flash,prompt2_scale,duracloud,4,134,137.2369,1.0241559701492537,../Result/deepseek_v4_flash_prompt2_fewshot_scale_v7/duracloud_deepseek_v4_flash_prompt2_fewshot_scale_v7.csv
deepseek-v4-flash,prompt2_scale,duracloud,5,134,138.05239999999998,1.0302417910447759,../Result/deepseek_v4_flash_prompt2_fewshot_scale_v7/duracloud_deepseek_v4_flash_prompt2_fewshot_scale_v7.csv
deepseek-v4-flash,prompt2_scale,jirasoftware_filtered,1,65,69.4816,1.0689476923076924,../Result/deepseek_v4_flash_prompt2_fewshot_scale_v7/jirasoftware_filtered_deepseek_v4_flash_prompt2_fewshot_scale_v7.csv
deepseek-v4-flash,prompt2_scale,jirasoftware_filtered,2,65,64.7826,0.9966553846153846,../Result/deepseek_v4_flash_prompt2_fewshot_scale_v7/jirasoftware_filtered_deepseek_v4_flash_prompt2_fewshot_scale_v7.csv
deepseek-v4-flash,prompt2_scale,jirasoftware_filtered,3,65,66.79549999999999,1.0276230769230768,../Result/deepseek_v4_flash_prompt2_fewshot_scale_v7/jirasoftware_filtered_deepseek_v4_flash_prompt2_fewshot_scale_v7.csv
deepseek-v4-flash,prompt2_scale,jirasoftware_filtered,4,65,65.7669,1.0117984615384616,../Result/deepseek_v4_flash_prompt2_fewshot_scale_v7/jirasoftware_filtered_deepseek_v4_flash_prompt2_fewshot_scale_v7.csv
deepseek-v4-flash,prompt2_scale,jirasoftware_filtered,5,65,66.6378,1.0251969230769231,../Result/deepseek_v4_flash_prompt2_fewshot_scale_v7/jirasoftware_filtered_deepseek_v4_flash_prompt2_fewshot_scale_v7.csv
deepseek-v4-flash,prompt2_scale,mesos,1,336,353.21,1.051220238095238,../Result/deepseek_v4_flash_prompt2_fewshot_scale_v7/mesos_deepseek_v4_flash_prompt2_fewshot_scale_v7.csv
deepseek-v4-flash,prompt2_scale,mesos,2,336,342.2076,1.018475,../Result/deepseek_v4_flash_prompt2_fewshot_scale_v7/mesos_deepseek_v4_flash_prompt2_fewshot_scale_v7.csv
deepseek-v4-flash,prompt2_scale,mesos,3,336,340.2268,1.012579761904762,../Result/deepseek_v4_flash_prompt2_fewshot_scale_v7/mesos_deepseek_v4_flash_prompt2_fewshot_scale_v7.csv
deepseek-v4-flash,prompt2_scale,mesos,4,336,350.10360000000003,1.041975,../Result/deepseek_v4_flash_prompt2_fewshot_scale_v7/mesos_deepseek_v4_flash_prompt2_fewshot_scale_v7.csv
deepseek-v4-flash,prompt2_scale,mesos,5,336,348.2572,1.0364797619047619,../Result/deepseek_v4_flash_prompt2_fewshot_scale_v7/mesos_deepseek_v4_flash_prompt2_fewshot_scale_v7.csv
deepseek-v4-flash,prompt2_scale,moodle,1,234,225.8155,0.9650235042735043,../Result/deepseek_v4_flash_prompt2_fewshot_scale_v7/moodle_deepseek_v4_flash_prompt2_fewshot_scale_v7.csv
deepseek-v4-flash,prompt2_scale,moodle,2,234,225.8313,0.9650910256410257,../Result/deepseek_v4_flash_prompt2_fewshot_scale_v7/moodle_deepseek_v4_flash_prompt2_fewshot_scale_v7.csv
deepseek-v4-flash,prompt2_scale,moodle,3,234,228.04850000000002,0.9745662393162394,../Result/deepseek_v4_flash_prompt2_fewshot_scale_v7/moodle_deepseek_v4_flash_prompt2_fewshot_scale_v7.csv
deepseek-v4-flash,prompt2_scale,moodle,4,234,229.22269999999997,0.9795841880341879,../Result/deepseek_v4_flash_prompt2_fewshot_scale_v7/moodle_deepseek_v4_flash_prompt2_fewshot_scale_v7.csv
deepseek-v4-flash,prompt2_scale,moodle,5,234,225.90589999999997,0.965409829059829,../Result/deepseek_v4_flash_prompt2_fewshot_scale_v7/moodle_deepseek_v4_flash_prompt2_fewshot_scale_v7.csv
deepseek-v4-flash,prompt2_scale,mule,1,178,225.0625,1.2643960674157304,../Result/deepseek_v4_flash_prompt2_fewshot_scale_v7/mule_deepseek_v4_flash_prompt2_fewshot_scale_v7.csv
deepseek-v4-flash,prompt2_scale,mule,2,178,183.8323,1.0327657303370787,../Result/deepseek_v4_flash_prompt2_fewshot_scale_v7/mule_deepseek_v4_flash_prompt2_fewshot_scale_v7.csv
