issue_key,title,description,true_story_points,predicted_story_points,model_used,response_time,reasoning,retry_count,prediction_error,within_1_point,within_2_points,timestamp
JSW-7168,"As Patrick, I want to be able to filter my backlog to a specific version so I can easily see which stories will be included Includes adding All issues option for versions AND epics Includes adding Issues without version option Single version selection Selected version for filter should be remembered in the URL Epic numbers metadata will not be updated when filtering is active If an epic filter is active, and then a version filter is activated which excludes that epic, the epic filter will revert back to All issues option (!) Development Notes (!) Q: So shift or control click do not work for multiple select? A: (x) Not Answered Q: What if a quick filter applies a version filter? A: (x) Not Answered Q: What if an instant filter is active? A: (x) Not Answered Q: Do we want to link the order of versions to the order of issues in the backlog? A: (x) Not Answered Q: What if an epic is selected and a version which is empty is selected? Do we still drop all the issues from the filter the same ...",,5,8.0,gemini,9.469791173934937,8,,3.0,False,False,2025-09-03T01:49:52.495685
JSW-7170,"As Patrick, I want to be able to filter my backlog to a select few versions so I can see which stories will be included in them",,3,1.0,gemini,16.885977029800415,"**ANALYSIS FRAMEWORK:**

*   **What is the core functionality being implemented?**
    *   The core functionality is to enable users to filter a backlog list by selecting multiple specific versions. This involves:
        *   Displaying a multi-select UI component for versions.
        *   Fetching available versions to populate this component.
        *   Sending the selected version IDs/names to the backend.
        *   Modifying the backend query to filter stories based on the selected versions.
        *   Updating the backlog display dynamically to show only the filtered stories.

*   **How many different components/systems need to be modified?**
    *   **Frontend (UI):** A new multi-select filter component will need to be implemented or integrated. The existing backlog display component will need to be updated to trigger the filter and display the results. This involves UI logic, state management, and potentially fetching the list of available versions.
    *   **Backend (API/Service):** An existing API endpoint (or a new one if necessary) responsible for fetching backlog stories will need to be modified to accept an array of version identifiers as a filter parameter.
    *   **Database:** The database query executed by the backend service will need to be updated to include a `WHERE` clause (e.g., using `IN` operator) to filter stories based on the provided version IDs.

*   **What is the testing complexity?**
    *   **Unit testing:** For new frontend filter logic and backend query modifications.
    *   **Integration testing:** To ensure correct communication between the frontend, backend API, and database, and that the filtering logic works as expected across layers.
    *   **UI/E2E testing:** To verify the user experience, including the multi-select component's functionality, interaction with the backlog, and correct display of filtered results.
    *   **Edge cases:** Testing with no versions selected, all versions selected, a large number of versions, and cases where no stories match the filter.

*   **Are there any integration challenges or dependencies?**
    *   The primary dependency is the existing backlog view and its data fetching mechanism.
    *   Ensuring the list of available versions is accurate and up-to-date.
    *   Potential performance considerations if the backlog is very large or if there are many versions, requiring query optimization.

*   **What is the documentation and deployment effort?**
    *   **Documentation:** Updates to internal developer documentation for the API endpoint and frontend component usage. Possibly release notes for users.
    *   **Deployment:** Standard CI/CD process. No extraordinary deployment effort is implied.

**Story Point Estimate:**

This task involves changes across multiple layers (UI, API, Database) and requires implementing a new user-facing filtering feature with a multi-select component. It's more complex than a simple UI tweak or text change (1-3 points) but does not involve complex business logic or integration with external systems (8+ points). It fits the description of ""implementing a feature with multiple components, moderate complexity.""

**Story Points: 5**",,2.0,False,True,2025-09-03T01:49:52.495686
JSW-7171,"As Patrick, I want to understand the progress towards a version with a single report - the chart needs to show the complete history of a version (incl scope changes) - it s a burnup chart showing total estimate vs complete estimate, total vs unestimated stories - also display count of unestimated stories - start date is defined as the day when first story from that version was added to the version (to use startDate once we have it) - also display the list of stories split into complete, incomplete, incomplete unestimated (we may want to consider adding full history later on); - each story on the list should display the epic it belongs to (!) Development Notes (!) Q: How does the chart look if it has been archived then unarchived again? A: the same Q: What if an issue is a part of multiple versions? Are there any implications for which version it is displayed in permission issues if this issue is in another project our user has no permissions to see? A: it s displayed in all of them if ...",,5,13.0,gemini,12.903550863265991,13,,8.0,False,False,2025-09-03T01:49:52.495687
JSW-7172,"As Patrick, I want to adjust release report projections to simulate and better understand what can be achieved within a version - allow the percentage calculation to be adjusted (default to 10 )",,13,5.0,gemini,12.575650691986084,5,,8.0,False,False,2025-09-03T01:49:52.495689
JSW-7254,"As a user, I would like to create an issue inside an epic when viewing an epic in JIRA The sub-task panel has a Create button to create sub-tasks quickly for an issue. It would be good to have a similar mechanism when viewing an epic, so that you can create issues for the epic. (!) Development Notes (!) Q: How does this overwrite the current project and issuetype selection of the create issue dialog? A: ( ) No overriding is done for the create issue dialog. It behaves identical to the normal dialog. Q: What happens if you open the create issue for epic and create issue dialogs one after the other? A: ( ) Multiple issue creation is supported. After all issues are created and dialog is closed, then the created issues are associated with the epic Q: What if the epic is closed? A: ( ) Issues will still be able to be associated to the epic. Q: What if the epic doesn t exist anymore? A: ( ) An error message is shown saying the issue does not exist Q: What if the epic has been changed to anot...",,3,5.0,gemini,13.101503849029541,Story Points: 5,,2.0,False,True,2025-09-03T01:49:52.495690
JSW-7314,"Add Atlassian Analytics events to GH All of the values below will need to be grouped by instance: - how many instances are actually activated (measurement: for every instance with GH enabled, make sure we store first visit to an instance - most likely to be secure Dashboard.jspa, which is in JIRA) - of these instances, how many find Rapid Boards (measurement: first visit to secure RapidStart.jspa in an instance) how many of the ones without GH at first had them (this necessary to have the numbers right for the following points) -- Event is gh.welcome.show - how many attempt to create a project? (measurement: opening of the dialogue to create a project) -- Event: gh.welcome.create.project.start with type in label field - how many create a project how many create a project of each type (scrum, kanban, diy) how many create sample non-sample projects? (measurement: store project_created as an event, with type associated to it, as well as if it was a sample project). -- Event: gh.welcome.cr...",,5,8.0,gemini,11.338502168655396,Story Points: 8,,3.0,False,False,2025-09-03T01:49:52.495692
JSW-7357,"As an administrator, I would like to be able to turn on off the Release Planning feature as a Labs Feature Surfaced in the GH Labs Configuration tab Controls the visibility of any Release Planning feature story",,1,1.0,gemini,14.434601068496704,"**Analysis:**

1.  **Core functionality:** Implement a feature flag/toggle for ""Release Planning"" functionality. This toggle needs to be visible to administrators in a specific configuration tab and control the visibility/activation of other ""Release Planning"" features/stories.
2.  **Components/systems modified:**
    *   **Admin UI:** A new UI control (e.g., checkbox, toggle switch) needs to be added to the ""GH Labs Configuration tab"". This involves frontend development.
    *   **Backend API/Service:** A new API endpoint or modification to an existing one to store and retrieve the state of this feature flag.
    *   **Database:** A new field or configuration entry to persist the feature flag's state.
    *   **Release Planning Feature(s):** Crucially, the existing ""Release Planning feature story"" (or multiple related components/stories that constitute the ""Release Planning feature"") will need to be modified to check the state of this new feature flag. This implies finding all relevant rendering points or activation logic within the Release Planning feature and adding conditional checks.
3.  **Testing complexity:**
    *   UI testing for the toggle itself.
    *   Backend testing for state persistence.
    *   Integration testing to ensure that turning the feature on/off correctly impacts the visibility/functionality of the ""Release Planning feature story"" throughout the application. This requires testing the downstream effects in potentially multiple areas.
    *   Permissions testing to ensure only administrators can manage the setting.
4.  **Integration challenges/dependencies:**
    *   Dependency on the existing ""GH Labs Configuration tab"" structure.
    *   Dependency on the implementation details of the ""Release Planning feature story"" to correctly apply the visibility control. This might involve modifying several distinct components if the Release Planning feature is not tightly encapsulated.
5.  **Documentation/deployment:** Standard documentation for the new admin setting and feature flag. Standard deployment.

**Estimation Rationale:**
This task involves more than a simple UI change or a basic API call. It requires changes across multiple layers (frontend, backend, database) and, significantly, involves modifying existing application logic to react to the new feature flag. The phrase ""Controls the visibility of *any* Release Planning feature story"" implies a potentially broad impact, requiring identification and modification of all relevant places where the Release Planning feature is surfaced or activated. While not a major architectural change or external integration, the cross-cutting nature of implementing a feature flag correctly across an existing feature set elevates its complexity beyond a simple 5-point task. It falls into the ""complex tasks"" category due to the integration with existing feature logic and the need to ensure comprehensive control over its visibility.

**Story Points:** 8",,0.0,True,True,2025-09-03T01:49:52.495694
JSW-7358,"As a user, I would like for the Release Planning labs feature to be promoted on the Getting Started page For administrators: this includes a button to enable the feature For non-admins: if not enabled, show a message saying it is available and they have to ask an administrator to enable it. Once enabled: show users a Feedback button. Admins also see a link to disable the feature. Jay to provide new icon.",,1,5.0,gemini,8.134964227676392,Story Points: 5,,4.0,False,False,2025-09-03T01:49:52.495695
JSW-7402,"As Patrick I d like to be able to hide the versions panel State persisted in URL Default view is Versions panel is collapsed When both versions and epics panels are collapsed, show affordances that allow the user to differentiate between the two (!) Development Notes (!) Q: What if the detail view is not visible either? A: (x) Not Answered",,2,5.0,gemini,9.469676971435547,Story Points: 5,,3.0,False,False,2025-09-03T01:49:52.495696
JSW-7469,"Store startDate for fixVersion As Patrick, I want to be able to specify a startDate for my fixVersion when creating it so that my charts can be displayed in a reasonable way. allow to specify startDate when creating a version within GH store as date with UTC timezone",,2,5.0,gemini,8.085432052612305,Story Points: 5,,3.0,False,False,2025-09-03T01:49:52.495698
JSW-7585,document compatibility of GH with JIRA 6.0 (NB. dependent on Plugins 3),,1,1.0,gemini,14.034331798553467,"**Analysis:**

1.  **Core functionality:** The primary task is to research and document the compatibility status of GreenHopper (GH) with JIRA 6.0, specifically noting its dependency on Plugins 3. This is a knowledge-gathering and documentation effort, not a development or implementation task.
2.  **Components/systems modified:** No systems are modified. The work involves researching existing documentation, release notes, and potentially support articles related to GH, JIRA 6.0, and Plugins 3.
3.  **Testing complexity:** Testing involves reviewing the accuracy, completeness, and clarity of the documented information. This is a content review, not functional testing, but requires careful verification against sources.
4.  **Integration challenges/dependencies:** The main ""integration"" is the intellectual integration of information from different sources (GH, JIRA 6.0, Plugins 3). The ""NB. dependent on Plugins 3"" highlights a specific dependency that requires focused investigation and understanding, potentially adding layers of complexity to the research.
5.  **Documentation/deployment effort:** The entire task *is* documentation. Deployment involves publishing the document, likely to an internal wiki or knowledge base, which is usually a low-effort activity.

**Estimation Rationale:**

*   This is clearly more than a ""very simple task"" like changing text (1 point) as it requires research across multiple versions and a specific plugin framework.
*   It's more involved than a ""simple task"" like adding a button or basic validation (2-3 points) because the research aspect, especially regarding the ""Plugins 3"" dependency, implies a need to synthesize information from potentially disparate or historical sources. It's not a quick lookup.
*   The effort to accurately understand the nuances of compatibility between three distinct entities (GH, JIRA 6.0, Plugins 3) and then clearly articulate it, suggests ""moderate complexity"" for a documentation task. This aligns with the complexity level often associated with a 5-point story. It requires more than a casual glance at release notes; it demands a thorough investigation to ensure accuracy and cover all relevant scenarios, particularly concerning the mentioned dependency.

**Story Points:** 5",,0.0,True,True,2025-09-03T01:49:52.495699
JSW-7599,"As a user, I want to be able to create a GH board straight from the JIRA create project dialog so it s easier for me This is about plugging into the plugin point exposed by JIRA and - specify the title - hijack the project post creation and redirect to GH - separate buttons for Scrum Kanban - Simplified workflow by default without option to select (!) Development Notes (!) Q: Is there differing implementation between btf and OD that we need to consider? Application permissions? A: ( ) I don t believe there should be any, these would relate to installation of GH when it s not present and will be dealt with in subsequent stories Q: What board configuration do we allow from this dialog? A: ( ) This story only covers the minimum - the user will be able to specify project name, key and project lead (all of that provided by JIRA already), and we need to create a board for that project, assuming simplified workflow Q: What happens to our old create project board dialog? A: ( ) Nothing",,5,13.0,gemini,12.581189155578613,Story Points: 13,,8.0,False,False,2025-09-03T01:49:52.495700
JSW-7600,"As a BTF user, I want to be able to install GH via UPM when creating a project This is to allow us to launch the UPM and install GH as the current dashboard process does. Further customisation of the process will be dealt with in a further story. Banner Text: Please install GreenHopper",,3,5.0,gemini,8.802928924560547,Story Points: 5,,2.0,False,True,2025-09-03T01:49:52.495701
JSW-7602,"As Patrick, I want to be able to see a projection of possible end date of a version This is to be calculated using -an average time spent per completed story point (or any other estimation statistic)- average story points per day in a given release so far, plus optimistic and pessimistic variants by adding or subtracting -one standard deviation- 10 from it. (note this was changed because we already return data for story points completed by date but not time per story, and a standard deviation was too big of a difference in most cases and didn t seem to make sense) The projections must be displayed somewhere outside of the chart as well. Released versions do not need to show projections. Show the intended release date on the chart (midnight end of the date specified). Do not show calculations of velocity in the page. Take NWD into account with the calculation of mean and SD. Tooltips for potential targets show type (optimistic, pessimistic) and date. At least 10 of total estimated work ...",,5,8.0,gemini,14.059879064559937,Story Points: 8,,3.0,False,False,2025-09-03T01:49:52.495703
JSW-7695,"As Patrick, I want the list of epics to reflect the current version filter When a version filter is active, the epics which are not part of that version (by way of issues) are shown as faded out These faded out epics will still be interactive (drag and drop, filter toggling) Epic numbers metadata may be updated when filtering is active If an epic filter is active, and then a version filter is activated which excludes that epic, the epic filter will revert back to All issues option If a version filter is active, and a epic filtered for a an epic which has no issues in the currently selected version is selected, both filters are active and no results are shown (!) Development Notes (!) Q: Are there still drop zones for faded epics? A: ( ) Yes Q: Will the epic unfade immediately if an issue is added? A: ( ) Yes Q: Will the epic fade immediately when an issue is removed from it? A: ( ) Yes Q: What happens if a quickfilter filters out all issues that are part of an epic? A: ( ) There will b...",,5,1.0,gemini,17.402647972106934,"Based on the backlog item and the provided guidelines, here's an analysis:

**ANALYSIS FRAMEWORK:**

*   **What is the core functionality being implemented?**
    The core functionality is to dynamically filter and visually represent epics based on an active version filter. Epics that do not have any associated issues in the selected version should be ""faded out"" visually. Critically, these faded epics must remain interactive (e.g., drag and drop, filter toggling). There are also complex rules for how this version filter interacts with existing epic filters and for real-time updates when issues are added or removed from an epic.

*   **How many different components/systems need to be modified?**
    *   **Frontend UI:** Significant modifications to the epic list rendering component for fading/unfading, managing interactivity of faded items (especially drag and drop), updating epic metadata (numbers), and handling the state of various filters.
    *   **Filtering Logic:** New, complex logic is required to determine which epics should be faded based on their constituent issues' versions. This likely involves traversing issue relationships.
    *   **State Management:** The system needs robust state management to handle the interplay between version filters, epic filters, and potentially quick filters, including rules for filter resets and ""no results"" scenarios.
    *   **Real-time Updates:** The requirement for immediate fading/unfading on issue add/remove suggests the need for real-time reactivity, potentially involving websockets or sophisticated polling, and efficient propagation of data changes to the UI.

*   **What is the testing complexity?**
    The testing complexity is high. Numerous scenarios need to be covered, including:
    *   Various combinations of active version filters, epic filters, and quick filters.
    *   Epics with all, some, or no issues in the selected version.
    *   Verification of continued drag-and-drop functionality on faded epics.
    *   Testing real-time updates for issue adds/removes.
    *   Edge cases such as an epic filter being reset due to a version filter, or selecting an epic filter for an epic with no issues in the current version.
    *   Performance implications with large datasets.

*   **Are there any integration challenges or dependencies?**
    *   **Existing Filter Systems:** Must integrate seamlessly with existing version, epic, and quick filter mechanisms without breaking them.
    *   **Drag-and-Drop Functionality:** The existing drag-and-drop feature for epics must be preserved and work correctly even when epics are faded. This can be technically challenging.
    *   **Data Reactivity:** Depending on the current architecture, implementing immediate UI updates for issue changes might require significant integration or architectural changes to data flow.
    *   **Backend Queries:** Ensuring efficient data retrieval to support the version-based filtering of epics.

*   **What is the documentation and deployment effort?**
    Standard deployment, but user documentation will need updates to explain the new filtering behavior and interactions.

**Conclusion:**

This is a **major feature development** that goes beyond simple UI changes or basic logic. It involves:
1.  **Complex UI interactions:** Fading with full interactivity (drag and drop) requires careful implementation.
2.  **Complex business logic:** Multiple specific rules for how version filters interact with epic filters, including filter resets and ""no results"" states.
3.  **Real-time reactivity:** The need for immediate fade/unfade based on issue changes adds significant technical complexity.
4.  **Extensive testing:** The numerous scenarios and interactions will require thorough testing to ensure correctness and prevent regressions.

While it doesn't explicitly mention external system integrations or *major* architectural overhauls, the scope of changes to existing core UI components, complex filter logic, and the demand for real-time responsiveness push this beyond a medium (5 point) or even complex (8 point) task. It fits the description of ""major feature development"" with considerable complexity and potential impact on existing functionality.

**Story Points:** 13",,4.0,False,False,2025-09-03T01:49:52.495704
JSW-7700,"Bring context menu to work mode - allow for multiple select (with current limitations) actions: - bulk change - open in issue nav - remove from sprint ( show the same warning as elsewhere) (!) Development Notes (!) (x) Check Interoperability with other actions on the board (while menu open, try ranking, transition, cog menu, etc) (x) Check permissions to remove from spint, bulkchange (non-admin, user without delete permission, etc) (x) Check right-click does not trigger where it shouldn t (issue in done then open detail view) (x) Scrolling - should disappear when context changes (x) Stale state - what if an issue was already removed from sprint? (need 2 users) (x) Check with various board configurations (swimlanes, kanban with releasing)",,3,8.0,gemini,9.20603322982788,Story Points: 8,,5.0,False,False,2025-09-03T01:49:52.495709
JSW-7753,"Swimlane by epic As Patrick, I want to use epics for swimlanes so I can see progress of each epic within a sprint more easily. Both stories and subtasks for the epics should display. Only an option for Scrum boards The swimlane presentation is similar to story task swimlane: Epic Name, possibly issue key No detail view shown for epic; clicking on swimlane selects first issue in swimlane (same as Assignee) Issues without epics shows at the bottom",,3,5.0,gemini,8.160948038101196,Story Points: 5,,2.0,False,True,2025-09-03T01:49:52.495710
JSW-7805,Display a invalid drop target icon on the version list when trying to assign story for a different project to a version Use the browser default cursor not allowed,,2,5.0,gemini,8.604410886764526,Story Points: 5,,3.0,False,False,2025-09-03T01:49:52.495711
JSW-7842,"Integrate GH install via JIRA project template The work for this is on a branch of the JIRA plugin (jira-project-templates-plugin) (!) Development Notes (!) Q: For each of the files you are modifying, what dependencies rely on or share the code you re changing? A: (x) Not Answered Q: What safeguards exist if the GH install fails or is incomplete? A: ( ) That is handled by UPM, if GH is already installed, the installer shouldn t show because GH is providing it s own project templates Q: Do we have a dependency on UPM version for this to work? If so, do we have a check in place? A: ( ) Dependency on JIRA 6.0 and the UPM it uses. Q: How does licensing work? What if GH is unlicensed? Or if a license cannot be obtained from MAC? A: ( ) If no evaluator license can be obtained, the installer will show an error and GH will be unlicensed. Q: What if a very old version of GH is already installed on the instance? A: (x) Not Answered",,3,1.0,gemini,18.532622814178467,"ANALYSIS FRAMEWORK:

*   **What is the core functionality being implemented?**
    The core functionality is to integrate the GitHub (GH) installation process directly into the JIRA project template creation flow. This means when a user creates a new JIRA project from a specific template, the template will facilitate or trigger the installation of the GH plugin if it's not already present. It also involves handling various states like GH already being installed, license availability, and JIRA/UPM version compatibility.

*   **How many different components/systems need to be modified?**
    This task involves modifications to at least the following:
    *   **JIRA Project Templates Plugin (`jira-project-templates-plugin`):** This is the primary component where the integration logic will reside.
    *   **JIRA core/API:** To interact with project creation, plugin management, and potentially licensing.
    *   **Universal Plugin Manager (UPM):** To check for existing GH installations, manage the installation process, and handle failures.
    *   **GitHub (GH) Plugin:** Interaction with its installation routines and potentially its licensing mechanisms.
    *   **Licensing System:** Logic for checking and acquiring GH licenses (e.g., evaluator licenses), and displaying errors if unavailable.

*   **What is the testing complexity?**
    The testing complexity is high due to the multiple integration points and unanswered questions:
    *   **Positive path:** GH not installed -> template installs GH successfully.
    *   **Negative paths/Error handling:** GH installation fails, license cannot be obtained, UPM issues.
    *   **Existing GH scenarios:** GH already installed (various versions, including ""very old"" ones – *this is an explicit unknown and risk*).
    *   **JIRA/UPM compatibility:** Testing with JIRA 6.0 and its UPM, and understanding behavior with other versions.
    *   **Dependency analysis:** The ""Not Answered"" question about dependencies means extensive regression testing for any affected code paths will be necessary.

*   **Are there any integration challenges or dependencies?**
    Yes, significant challenges and dependencies:
    *   **Unknown Dependencies:** The explicit ""Not Answered"" for ""what dependencies rely on or share the code you're changing?"" is a major red flag. This indicates a high risk of unexpected side effects and will require substantial investigative work and careful coding to avoid regressions.
    *   **Compatibility with Old GH Versions:** The ""Not Answered"" for ""What if a very old version of GH is already installed on the instance?"" is another significant challenge. This could lead to complex version checks, migration logic, or specific error handling scenarios.
    *   **UPM Interaction:** Reliance on UPM for installation and status checks introduces a dependency on UPM's API and behavior.
    *   **Licensing Logic:** Integrating with JIRA's or GH's licensing framework adds complexity.
    *   **Deployment:** Ensuring the plugin updates are seamless and don't disrupt existing JIRA instances.

*   **What is the documentation and deployment effort?**
    *   **Documentation:** Updates to the `jira-project-templates-plugin` documentation, any new configuration details, and administrator guides on how the GH integration works and troubleshooting steps.
    *   **Deployment:** Standard JIRA plugin deployment, but given the integration complexity, careful staged rollouts and monitoring would be advised.

**Estimation Justification:**

This task goes beyond a ""medium"" task (5 points) because it involves significant integration with multiple external systems (JIRA, UPM, GH installer, licensing) and complex business logic for version and status checks.

The ""8 points: Complex tasks (e.g., integrating with external systems, complex business logic)"" fits the *known* aspects of the task quite well. However, the presence of two critical ""Not Answered"" questions significantly elevates the complexity and risk:

1.  **""What dependencies rely on or share the code you re changing? A: (x) Not Answered""**: This implies the team lacks knowledge of potential ripple effects. This isn't just a development task; it's a discovery task that requires in-depth code analysis, impact assessment, and robust defensive coding to prevent regressions. This adds substantial investigative and testing effort.
2.  **""What if a very old version of GH is already installed on the instance? A: (x) Not Answered""**: This is another major unknown. Dealing with legacy versions often involves complex version detection, migration paths, or specific compatibility layers, which adds significant development and testing overhead.

These unknowns push the effort beyond a standard ""complex"" task. The need to investigate, design for robustness against unknown dependencies, and handle potentially very old GH versions elevates the task to a ""very complex"" level, requiring a more substantial development and risk mitigation effort than typically found in an 8-point task. It's not a complete module rewrite or major architectural change in itself, but the *implications* of the unknowns for architectural stability and existing functionality make it substantial.

**Story Points:** 13",,2.0,False,True,2025-09-03T01:49:52.495713
