issuekey_A,issuekey_B,f_A,f_B,P_AB,GT_A,GT_B,GT_AB,status,dataset
DM-3926,XD-975,3.0,8.0,-1.0,1.0,40.0,-1.0,valid,datamanagement
DM-3928,TDQ-5286,5.0,3.0,1.0,3.0,5.0,-1.0,valid,datamanagement
DM-3929,APSTUD-3919,5.0,3.0,1.0,4.0,8.0,-1.0,valid,datamanagement
DM-3930,TESB-6455,2.0,3.0,-1.0,2.0,1.0,1.0,valid,datamanagement
DM-3931,MDL-41266,8.0,3.0,1.0,4.0,8.0,-1.0,valid,datamanagement
DM-3932,JSW-6389,5.0,5.0,0.0,4.0,1.0,1.0,tie,datamanagement
DM-3935,TISTUD-5858,8.0,1.0,1.0,6.0,5.0,1.0,valid,datamanagement
DM-3936,TESB-4339,5.0,5.0,0.0,1.0,2.0,-1.0,tie,datamanagement
DM-3937,TISTUD-954,5.0,3.0,1.0,1.0,13.0,-1.0,valid,datamanagement
DM-3938,MDL-44478,5.0,2.0,1.0,22.0,5.0,1.0,valid,datamanagement
DM-3939,TISTUD-5825,5.0,3.0,1.0,5.0,3.0,1.0,valid,datamanagement
DM-3940,MESOS-4154,3.0,1.0,1.0,1.0,2.0,-1.0,valid,datamanagement
DM-3941,DURACLOUD-270,2.0,3.0,-1.0,2.0,1.0,1.0,valid,datamanagement
DM-3942,XD-135,5.0,3.0,1.0,14.0,4.0,1.0,valid,datamanagement
DM-3943,TESB-5243,5.0,5.0,0.0,1.0,3.0,-1.0,tie,datamanagement
DM-3944,TDQ-4752,8.0,5.0,1.0,5.0,8.0,-1.0,valid,datamanagement
DM-3945,TESB-2049,5.0,2.0,1.0,8.0,2.0,1.0,valid,datamanagement
DM-3946,TIMOB-19788,3.0,2.0,1.0,7.0,3.0,1.0,valid,datamanagement
DM-3947,XD-1243,2.0,3.0,-1.0,1.0,5.0,-1.0,valid,datamanagement
DM-3949,TIMOB-23193,2.0,3.0,-1.0,2.0,5.0,-1.0,valid,datamanagement
DM-3951,TISTUD-6261,5.0,3.0,1.0,3.0,5.0,-1.0,valid,datamanagement
DM-3952,TIMOB-23127,2.0,5.0,-1.0,1.0,8.0,-1.0,valid,datamanagement
DM-3954,STUDIO-2824,3.0,5.0,-1.0,1.0,5.0,-1.0,valid,datamanagement
DM-3955,APSTUD-7264,3.0,3.0,0.0,4.0,8.0,-1.0,tie,datamanagement
DM-3956,MULE-7283,5.0,5.0,0.0,1.0,13.0,-1.0,tie,datamanagement
DM-3957,MESOS-4726,8.0,2.0,1.0,1.0,2.0,-1.0,valid,datamanagement
DM-3958,XD-1992,8.0,5.0,1.0,16.0,2.0,1.0,valid,datamanagement
DM-3959,DURACLOUD-71,3.0,5.0,-1.0,6.0,1.0,1.0,valid,datamanagement
DM-3960,TIMOB-18860,3.0,8.0,-1.0,14.0,8.0,1.0,valid,datamanagement
DM-3961,TIMOB-17448,5.0,5.0,0.0,8.0,5.0,1.0,tie,datamanagement
DM-3962,APSTUD-4743,13.0,5.0,1.0,12.0,8.0,1.0,valid,datamanagement
DM-3965,TIMOB-19016,2.0,5.0,-1.0,1.0,8.0,-1.0,valid,datamanagement
DM-3966,TDQ-10746,3.0,3.0,0.0,6.0,2.0,1.0,tie,datamanagement
DM-3967,TISTUD-7039,3.0,3.0,0.0,5.0,8.0,-1.0,tie,datamanagement
DM-3968,TISTUD-5160,5.0,8.0,-1.0,2.0,8.0,-1.0,valid,datamanagement
DM-3969,APSTUD-5036,3.0,3.0,0.0,13.0,5.0,1.0,tie,datamanagement
DM-3971,TIMOB-18327,5.0,3.0,1.0,1.0,8.0,-1.0,valid,datamanagement
DM-3973,TDQ-5715,3.0,8.0,-1.0,1.0,13.0,-1.0,valid,datamanagement
DM-3974,MESOS-5531,3.0,2.0,1.0,2.0,1.0,1.0,valid,datamanagement
DM-3975,TISTUD-2949,2.0,3.0,-1.0,1.0,13.0,-1.0,valid,datamanagement
DM-3976,TISTUD-13,5.0,8.0,-1.0,4.0,1.0,1.0,valid,datamanagement
DM-3977,MULE-9214,5.0,3.0,1.0,4.0,3.0,1.0,valid,datamanagement
DM-3978,MESOS-5318,8.0,3.0,1.0,1.0,2.0,-1.0,valid,datamanagement
DM-3979,TIMOB-23517,1.0,8.0,-1.0,1.0,5.0,-1.0,valid,datamanagement
DM-3980,MDL-46455,1.0,5.0,-1.0,1.0,100.0,-1.0,valid,datamanagement
DM-3981,MESOS-5561,5.0,5.0,0.0,1.0,2.0,-1.0,tie,datamanagement
DM-3983,TIMOB-17462,8.0,5.0,1.0,6.0,3.0,1.0,valid,datamanagement
DM-3984,TISTUD-5325,5.0,3.0,1.0,6.0,5.0,1.0,valid,datamanagement
DM-3985,TESB-3402,5.0,2.0,1.0,6.0,1.0,1.0,valid,datamanagement
DM-3986,TDQ-8045,8.0,3.0,1.0,6.0,13.0,-1.0,valid,datamanagement
DM-3987,TIMOB-20018,2.0,5.0,-1.0,1.0,3.0,-1.0,valid,datamanagement
DM-3988,XD-3461,3.0,5.0,-1.0,3.0,1.0,1.0,valid,datamanagement
DM-3989,XD-615,3.0,3.0,0.0,5.0,3.0,1.0,tie,datamanagement
DM-3990,TESB-6925,1.0,13.0,-1.0,1.0,3.0,-1.0,valid,datamanagement
DM-3992,TDQ-10270,3.0,1.0,1.0,5.0,1.0,1.0,valid,datamanagement
DM-3993,XD-2862,2.0,2.0,0.0,1.0,2.0,-1.0,tie,datamanagement
DM-3994,TIMOB-17568,2.0,3.0,-1.0,1.0,3.0,-1.0,valid,datamanagement
DM-3996,MULE-7001,2.0,3.0,-1.0,1.0,8.0,-1.0,valid,datamanagement
DM-3997,TIMOB-18617,3.0,5.0,-1.0,5.0,8.0,-1.0,valid,datamanagement
DM-3998,TISTUD-1757,1.0,3.0,-1.0,1.0,8.0,-1.0,valid,datamanagement
DM-3999,XD-1325,3.0,5.0,-1.0,5.0,8.0,-1.0,valid,datamanagement
DM-4000,TISTUD-887,5.0,5.0,0.0,12.0,1.0,1.0,tie,datamanagement
DM-4001,XD-2605,8.0,5.0,1.0,7.0,3.0,1.0,valid,datamanagement
DM-4003,MULE-8163,5.0,3.0,1.0,2.0,8.0,-1.0,valid,datamanagement
DM-4004,BAM-8556,5.0,2.0,1.0,13.0,2.0,1.0,valid,datamanagement
DM-4007,TISTUD-1877,2.0,3.0,-1.0,1.0,8.0,-1.0,valid,datamanagement
DM-4009,JSW-7357,3.0,3.0,0.0,3.0,1.0,1.0,tie,datamanagement
DM-4011,TIMOB-17904,3.0,8.0,-1.0,1.0,8.0,-1.0,valid,datamanagement
DM-4013,TIMOB-17653,2.0,5.0,-1.0,1.0,2.0,-1.0,valid,datamanagement
DM-4014,MESOS-4559,3.0,3.0,0.0,1.0,2.0,-1.0,tie,datamanagement
DM-4015,MESOS-2910,3.0,5.0,-1.0,1.0,8.0,-1.0,valid,datamanagement
DM-4016,TIMOB-10266,5.0,21.0,-1.0,6.0,21.0,-1.0,valid,datamanagement
DM-4019,TIMOB-7259,3.0,3.0,0.0,2.0,1.0,1.0,tie,datamanagement
DM-4021,TISTUD-3806,2.0,2.0,0.0,2.0,3.0,-1.0,tie,datamanagement
DM-4022,STUDIO-4442,3.0,8.0,-1.0,1.0,8.0,-1.0,valid,datamanagement
DM-4023,TISTUD-1424,1.0,3.0,-1.0,1.0,5.0,-1.0,valid,datamanagement
DM-4024,XD-3481,1.0,13.0,-1.0,1.0,5.0,-1.0,valid,datamanagement
DM-4025,TISTUD-6938,1.0,3.0,-1.0,2.0,3.0,-1.0,valid,datamanagement
DM-4026,MESOS-4803,2.0,2.0,0.0,2.0,3.0,-1.0,tie,datamanagement
DM-4027,TIMOB-20197,3.0,5.0,-1.0,1.0,13.0,-1.0,valid,datamanagement
DM-4028,MDL-46818,5.0,5.0,0.0,2.0,8.0,-1.0,tie,datamanagement
DM-4029,BAM-9459,3.0,2.0,1.0,2.0,1.0,1.0,valid,datamanagement
DM-4030,TISTUD-5421,5.0,3.0,1.0,5.0,3.0,1.0,valid,datamanagement
DM-4031,XD-222,3.0,2.0,1.0,4.0,1.0,1.0,valid,datamanagement
DM-4032,TDQ-5774,3.0,3.0,0.0,4.0,8.0,-1.0,tie,datamanagement
DM-4034,TIMOB-20116,3.0,5.0,-1.0,2.0,5.0,-1.0,valid,datamanagement
DM-4035,MULE-8284,3.0,3.0,0.0,4.0,5.0,-1.0,tie,datamanagement
DM-4036,MULE-6894,5.0,5.0,0.0,5.0,8.0,-1.0,tie,datamanagement
DM-4039,TIMOB-20139,5.0,5.0,0.0,1.0,5.0,-1.0,tie,datamanagement
DM-4040,TISTUD-5655,5.0,3.0,1.0,1.0,5.0,-1.0,valid,datamanagement
DM-4042,TIMOB-19740,5.0,5.0,0.0,1.0,8.0,-1.0,tie,datamanagement
DM-4043,CLOV-1285,13.0,5.0,1.0,8.0,13.0,-1.0,valid,datamanagement
DM-4044,MESOS-4107,8.0,3.0,1.0,8.0,1.0,1.0,valid,datamanagement
DM-4045,XD-1087,21.0,5.0,1.0,8.0,3.0,1.0,valid,datamanagement
DM-4046,TIMOB-19043,3.0,5.0,-1.0,1.0,5.0,-1.0,valid,datamanagement
DM-4047,MDL-41270,5.0,5.0,0.0,8.0,40.0,-1.0,tie,datamanagement
DM-4048,MESOS-3189,3.0,2.0,1.0,5.0,2.0,1.0,valid,datamanagement
DM-4049,MDL-44627,5.0,3.0,1.0,3.0,8.0,-1.0,valid,datamanagement
DM-4050,XD-1007,5.0,5.0,0.0,2.0,3.0,-1.0,tie,datamanagement
DM-4052,XD-857,1.0,8.0,-1.0,1.0,5.0,-1.0,valid,datamanagement
DM-4054,TISTUD-1094,2.0,3.0,-1.0,1.0,5.0,-1.0,valid,datamanagement
DM-4055,TISTUD-5833,5.0,3.0,1.0,3.0,5.0,-1.0,valid,datamanagement
DM-4056,XD-3437,5.0,5.0,0.0,1.0,8.0,-1.0,tie,datamanagement
DM-4057,JSW-9559,3.0,3.0,0.0,1.0,3.0,-1.0,tie,datamanagement
DM-4058,MESOS-5450,2.0,5.0,-1.0,1.0,2.0,-1.0,valid,datamanagement
DM-4059,APSTUD-4662,3.0,3.0,0.0,1.0,8.0,-1.0,tie,datamanagement
DM-4061,MDL-47153,5.0,5.0,0.0,1.0,8.0,-1.0,tie,datamanagement
DM-4062,TISTUD-5691,5.0,3.0,1.0,1.0,5.0,-1.0,valid,datamanagement
DM-4063,TISTUD-3697,5.0,3.0,1.0,1.0,3.0,-1.0,valid,datamanagement
DM-4064,MESOS-1799,5.0,5.0,0.0,5.0,3.0,1.0,tie,datamanagement
DM-4065,CLOV-1279,2.0,3.0,-1.0,2.0,1.0,1.0,valid,datamanagement
DM-4067,TDQ-8780,5.0,3.0,1.0,7.0,3.0,1.0,valid,datamanagement
DM-4068,STUDIO-3513,5.0,3.0,1.0,4.0,1.0,1.0,valid,datamanagement
DM-4069,TDQ-8470,1.0,1.0,0.0,3.0,5.0,-1.0,tie,datamanagement
DM-4070,DURACLOUD-701,5.0,5.0,0.0,7.0,1.0,1.0,tie,datamanagement
DM-4071,TIMOB-20376,5.0,5.0,0.0,1.0,5.0,-1.0,tie,datamanagement
DM-4074,TISTUD-3189,3.0,3.0,0.0,79.0,8.0,1.0,tie,datamanagement
DM-4075,TIMOB-9139,3.0,5.0,-1.0,8.0,3.0,1.0,valid,datamanagement
DM-4076,XD-3301,3.0,3.0,0.0,2.0,5.0,-1.0,tie,datamanagement
DM-4078,TDQ-9453,3.0,8.0,-1.0,2.0,3.0,-1.0,valid,datamanagement
DM-4079,TISTUD-7449,3.0,2.0,1.0,6.0,5.0,1.0,valid,datamanagement
DM-4080,MESOS-4358,3.0,3.0,0.0,8.0,2.0,1.0,tie,datamanagement
DM-4081,MESOS-2069,13.0,3.0,1.0,6.0,8.0,-1.0,valid,datamanagement
DM-4082,XD-467,13.0,8.0,1.0,10.0,3.0,1.0,valid,datamanagement
DM-4083,TESB-5916,0.0,8.0,-1.0,6.0,1.0,1.0,valid,datamanagement
DM-4084,TESB-8608,13.0,8.0,1.0,4.0,5.0,-1.0,valid,datamanagement
DM-4085,TIMOB-23527,5.0,13.0,-1.0,2.0,15.0,-1.0,valid,datamanagement
DM-4086,TESB-3684,5.0,2.0,1.0,3.0,1.0,1.0,valid,datamanagement
DM-4087,XD-617,5.0,3.0,1.0,3.0,2.0,1.0,valid,datamanagement
DM-4089,CLOV-1167,3.0,8.0,-1.0,3.0,1.0,1.0,valid,datamanagement
DM-4090,TISTUD-2224,3.0,5.0,-1.0,1.0,5.0,-1.0,valid,datamanagement
DM-4092,MULE-7706,3.0,21.0,-1.0,1.0,13.0,-1.0,valid,datamanagement
DM-4093,MESOS-2052,5.0,3.0,1.0,7.0,1.0,1.0,valid,datamanagement
DM-4094,TISTUD-7295,8.0,5.0,1.0,10.0,5.0,1.0,valid,datamanagement
DM-4095,TISTUD-2426,5.0,2.0,1.0,1.0,3.0,-1.0,valid,datamanagement
DM-4098,TIMOB-9293,3.0,3.0,0.0,1.0,10.0,-1.0,tie,datamanagement
DM-4099,MESOS-4364,5.0,2.0,1.0,1.0,5.0,-1.0,valid,datamanagement
DM-4100,TISTUD-5846,2.0,5.0,-1.0,2.0,3.0,-1.0,valid,datamanagement
DM-4102,MESOS-4844,5.0,5.0,0.0,3.0,2.0,1.0,tie,datamanagement
DM-4105,TIMOB-14178,1.0,5.0,-1.0,1.0,5.0,-1.0,valid,datamanagement
DM-4112,XD-2889,8.0,8.0,0.0,3.0,5.0,-1.0,tie,datamanagement
DM-4113,TIMOB-20085,5.0,2.0,1.0,4.0,5.0,-1.0,valid,datamanagement
DM-4115,XD-742,3.0,8.0,-1.0,2.0,20.0,-1.0,valid,datamanagement
DM-4116,CLOV-1613,3.0,3.0,0.0,3.0,1.0,1.0,tie,datamanagement
DM-4117,APSTUD-3996,3.0,3.0,0.0,1.0,8.0,-1.0,tie,datamanagement
DM-4118,TISTUD-1139,3.0,5.0,-1.0,2.0,13.0,-1.0,valid,datamanagement
DM-4119,JSW-2987,3.0,3.0,0.0,1.0,8.0,-1.0,tie,datamanagement
DM-4120,TISTUD-4362,3.0,1.0,1.0,12.0,5.0,1.0,valid,datamanagement
DM-4121,XD-2272,5.0,2.0,1.0,23.0,1.0,1.0,valid,datamanagement
DM-4122,BAM-8972,3.0,5.0,-1.0,1.0,2.0,-1.0,valid,datamanagement
DM-4123,TISTUD-6623,2.0,3.0,-1.0,8.0,3.0,1.0,valid,datamanagement
DM-4124,TISTUD-3108,2.0,5.0,-1.0,8.0,5.0,1.0,valid,datamanagement
DM-4125,CLOV-1182,3.0,3.0,0.0,1.0,3.0,-1.0,tie,datamanagement
DM-4127,TIMOB-23349,3.0,5.0,-1.0,2.0,8.0,-1.0,valid,datamanagement
DM-4129,TISTUD-7710,2.0,5.0,-1.0,1.0,5.0,-1.0,valid,datamanagement
DM-4131,TISTUD-3953,5.0,1.0,1.0,4.0,3.0,1.0,valid,datamanagement
DM-4133,MDL-43911,2.0,3.0,-1.0,1.0,5.0,-1.0,valid,datamanagement
DM-4135,MESOS-2815,5.0,3.0,1.0,6.0,2.0,1.0,valid,datamanagement
DM-4136,TISTUD-8002,3.0,2.0,1.0,6.0,8.0,-1.0,valid,datamanagement
DM-4137,TISTUD-2405,3.0,5.0,-1.0,1.0,5.0,-1.0,valid,datamanagement
DM-4138,TIMOB-17589,8.0,2.0,1.0,4.0,5.0,-1.0,valid,datamanagement
DM-4142,MULE-5990,3.0,13.0,-1.0,2.0,8.0,-1.0,valid,datamanagement
DM-4143,MDL-47152,8.0,5.0,1.0,3.0,20.0,-1.0,valid,datamanagement
DM-4145,TISTUD-4700,3.0,3.0,0.0,1.0,5.0,-1.0,tie,datamanagement
DM-4146,TIMOB-17531,2.0,5.0,-1.0,1.0,5.0,-1.0,valid,datamanagement
DM-4147,TDQ-5297,1.0,5.0,-1.0,1.0,13.0,-1.0,valid,datamanagement
DM-4148,TISTUD-1186,3.0,1.0,1.0,1.0,5.0,-1.0,valid,datamanagement
DM-4150,MESOS-2763,3.0,13.0,-1.0,1.0,8.0,-1.0,valid,datamanagement
DM-4151,MESOS-2951,3.0,5.0,-1.0,2.0,3.0,-1.0,valid,datamanagement
DM-4152,XD-2949,5.0,2.0,1.0,4.0,2.0,1.0,valid,datamanagement
DM-4153,MULE-8441,3.0,8.0,-1.0,4.0,5.0,-1.0,valid,datamanagement
DM-4154,XD-2984,13.0,3.0,1.0,6.0,3.0,1.0,valid,datamanagement
DM-4155,TIMOB-23479,5.0,3.0,1.0,10.0,8.0,1.0,valid,datamanagement
DM-4156,MULE-7979,8.0,5.0,1.0,30.0,1.0,1.0,valid,datamanagement
DM-4157,STUDIO-2923,5.0,3.0,1.0,4.0,8.0,-1.0,valid,datamanagement
DM-4160,BAM-3693,2.0,3.0,-1.0,1.0,2.0,-1.0,valid,datamanagement
DM-4162,XD-2459,8.0,3.0,1.0,6.0,3.0,1.0,valid,datamanagement
DM-4164,TISTUD-7387,8.0,3.0,1.0,10.0,5.0,1.0,valid,datamanagement
DM-4165,XD-2048,2.0,13.0,-1.0,1.0,20.0,-1.0,valid,datamanagement
DM-4166,JSW-7314,3.0,8.0,-1.0,1.0,5.0,-1.0,valid,datamanagement
DM-4168,TIMOB-23682,8.0,3.0,1.0,6.0,5.0,1.0,valid,datamanagement
DM-4170,MESOS-5078,3.0,1.0,1.0,12.0,1.0,1.0,valid,datamanagement
DM-4171,TESB-1584,5.0,5.0,0.0,12.0,3.0,1.0,tie,datamanagement
DM-4172,STUDIO-5360,5.0,2.0,1.0,2.0,34.0,-1.0,valid,datamanagement
DM-4174,TDQ-6429,5.0,2.0,1.0,2.0,1.0,1.0,valid,datamanagement
DM-4175,TISTUD-1839,5.0,5.0,0.0,3.0,8.0,-1.0,tie,datamanagement
DM-4176,MDL-47124,8.0,3.0,1.0,1.0,5.0,-1.0,valid,datamanagement
DM-4177,XD-2722,8.0,21.0,-1.0,1.0,5.0,-1.0,valid,datamanagement
DM-4178,STUDIO-5637,2.0,5.0,-1.0,1.0,5.0,-1.0,valid,datamanagement
DM-4179,TDQ-10806,3.0,3.0,0.0,2.0,8.0,-1.0,tie,datamanagement
DM-4180,TIMOB-10275,8.0,8.0,0.0,20.0,21.0,-1.0,tie,datamanagement
DM-4181,XD-2384,8.0,3.0,1.0,15.0,3.0,1.0,valid,datamanagement
DM-4183,TISTUD-7244,3.0,3.0,0.0,6.0,5.0,1.0,tie,datamanagement
DM-4184,TISTUD-2472,5.0,2.0,1.0,6.0,5.0,1.0,valid,datamanagement
DM-4185,TESB-6277,3.0,5.0,-1.0,5.0,3.0,1.0,valid,datamanagement
DM-4188,DURACLOUD-474,8.0,8.0,0.0,1.0,3.0,-1.0,tie,datamanagement
DM-4189,TISTUD-2518,2.0,5.0,-1.0,3.0,13.0,-1.0,valid,datamanagement
DM-4190,TIMOB-23349,5.0,5.0,0.0,35.0,8.0,1.0,tie,datamanagement
DM-4191,MDL-49517,8.0,2.0,1.0,14.0,5.0,1.0,valid,datamanagement
DM-4192,TIMOB-17571,1.0,5.0,-1.0,2.0,3.0,-1.0,valid,datamanagement
DM-4193,APSTUD-3149,8.0,3.0,1.0,7.0,1.0,1.0,valid,datamanagement
DM-4194,APSTUD-4257,3.0,5.0,-1.0,1.0,13.0,-1.0,valid,datamanagement
DM-4195,TISTUD-2778,5.0,3.0,1.0,2.0,5.0,-1.0,valid,datamanagement
DM-4196,APSTUD-8217,8.0,5.0,1.0,17.0,5.0,1.0,valid,datamanagement
DM-4197,XD-3169,5.0,3.0,1.0,1.0,8.0,-1.0,valid,datamanagement
DM-4201,DURACLOUD-986,8.0,5.0,1.0,3.0,2.0,1.0,valid,datamanagement
DM-4202,DURACLOUD-107,2.0,2.0,0.0,1.0,3.0,-1.0,tie,datamanagement
DM-4206,USERGRID-729,2.0,3.0,-1.0,2.0,1.0,1.0,valid,datamanagement
DM-4208,MESOS-4517,8.0,5.0,1.0,6.0,3.0,1.0,valid,datamanagement
DM-4209,,5.0,,,3.0,,,missing,datamanagement
DM-4210,USERGRID-900,3.0,5.0,-1.0,4.0,3.0,1.0,valid,datamanagement
DM-4212,TIMOB-17754,8.0,3.0,1.0,6.0,3.0,1.0,valid,datamanagement
DM-4213,TIMOB-12116,5.0,13.0,-1.0,6.0,21.0,-1.0,valid,datamanagement
DM-4214,USERGRID-631,5.0,5.0,0.0,6.0,2.0,1.0,tie,datamanagement
DM-4215,USERGRID-1239,3.0,3.0,0.0,4.0,3.0,1.0,tie,datamanagement
DM-4219,TESB-1446,5.0,5.0,0.0,2.0,3.0,-1.0,tie,datamanagement
DM-4220,MULE-8214,8.0,3.0,1.0,8.0,3.0,1.0,valid,datamanagement
DM-4222,MDL-41347,8.0,5.0,1.0,27.0,3.0,1.0,valid,datamanagement
DM-4223,MDL-53211,1.0,5.0,-1.0,1.0,3.0,-1.0,valid,datamanagement
DM-4224,MESOS-3226,2.0,5.0,-1.0,1.0,5.0,-1.0,valid,datamanagement
DM-4225,TISTUD-3193,13.0,2.0,1.0,3.0,2.0,1.0,valid,datamanagement
DM-4226,MESOS-3749,13.0,2.0,1.0,5.0,1.0,1.0,valid,datamanagement
DM-4227,USERGRID-918,8.0,3.0,1.0,7.0,8.0,-1.0,valid,datamanagement
DM-4228,STUDIO-2783,13.0,8.0,1.0,5.0,13.0,-1.0,valid,datamanagement
DM-4229,MDL-30852,5.0,3.0,1.0,3.0,8.0,-1.0,valid,datamanagement
DM-4230,USERGRID-16,5.0,8.0,-1.0,2.0,3.0,-1.0,valid,datamanagement
DM-4231,TDQ-5788,3.0,1.0,1.0,20.0,1.0,1.0,valid,datamanagement
DM-4232,MDL-43525,5.0,3.0,1.0,5.0,20.0,-1.0,valid,datamanagement
DM-4234,TIMOB-23175,5.0,2.0,1.0,4.0,1.0,1.0,valid,datamanagement
DM-4235,TISTUD-6465,3.0,5.0,-1.0,6.0,3.0,1.0,valid,datamanagement
DM-4236,MESOS-3078,5.0,8.0,-1.0,2.0,5.0,-1.0,valid,datamanagement
DM-4237,TIMOB-17654,8.0,2.0,1.0,2.0,5.0,-1.0,valid,datamanagement
DM-4238,TIMOB-17807,2.0,8.0,-1.0,1.0,13.0,-1.0,valid,datamanagement
DM-4239,CLOV-1195,8.0,5.0,1.0,5.0,8.0,-1.0,valid,datamanagement
DM-4240,TIMOB-16496,13.0,3.0,1.0,10.0,8.0,1.0,valid,datamanagement
DM-4241,TDQ-6395,13.0,5.0,1.0,4.0,8.0,-1.0,valid,datamanagement
DM-4242,CLOV-1159,8.0,2.0,1.0,4.0,1.0,1.0,valid,datamanagement
DM-4243,BAM-5425,2.0,3.0,-1.0,1.0,2.0,-1.0,valid,datamanagement
DM-4245,USERGRID-422,5.0,3.0,1.0,2.0,1.0,1.0,valid,datamanagement
DM-4246,XD-3081,2.0,5.0,-1.0,2.0,3.0,-1.0,valid,datamanagement
DM-4247,BAM-4666,5.0,3.0,1.0,4.0,8.0,-1.0,valid,datamanagement
DM-4248,MULE-6145,2.0,8.0,-1.0,1.0,8.0,-1.0,valid,datamanagement
DM-4251,APSTUD-4187,2.0,5.0,-1.0,1.0,8.0,-1.0,valid,datamanagement
DM-4252,MDL-25544,5.0,21.0,-1.0,2.0,100.0,-1.0,valid,datamanagement
DM-4253,MESOS-2582,5.0,3.0,1.0,15.0,2.0,1.0,valid,datamanagement
DM-4254,TIMOB-19921,3.0,5.0,-1.0,5.0,13.0,-1.0,valid,datamanagement
DM-4255,MDL-39953,5.0,3.0,1.0,10.0,20.0,-1.0,valid,datamanagement
DM-4256,USERGRID-797,2.0,8.0,-1.0,1.0,3.0,-1.0,valid,datamanagement
DM-4258,MESOS-5793,3.0,5.0,-1.0,4.0,3.0,1.0,valid,datamanagement
DM-4259,MULE-8268,5.0,5.0,0.0,5.0,3.0,1.0,tie,datamanagement
DM-4261,BAM-9372,8.0,2.0,1.0,79.0,1.0,1.0,valid,datamanagement
DM-4262,TIMOB-19381,5.0,3.0,1.0,2.0,3.0,-1.0,valid,datamanagement
DM-4263,TISTUD-4356,3.0,5.0,-1.0,4.0,3.0,1.0,valid,datamanagement
DM-4264,XD-1187,2.0,1.0,1.0,1.0,3.0,-1.0,valid,datamanagement
DM-4265,TISTUD-4529,5.0,3.0,1.0,16.0,8.0,1.0,valid,datamanagement
DM-4266,TISTUD-6510,3.0,5.0,-1.0,8.0,3.0,1.0,valid,datamanagement
DM-4267,MESOS-1972,3.0,8.0,-1.0,8.0,3.0,1.0,valid,datamanagement
DM-4268,STUDIO-2438,21.0,5.0,1.0,79.0,8.0,1.0,valid,datamanagement
DM-4269,MDL-46577,3.0,13.0,-1.0,1.0,40.0,-1.0,valid,datamanagement
DM-4270,XD-3064,3.0,5.0,-1.0,4.0,3.0,1.0,valid,datamanagement
DM-4271,TISTUD-6784,3.0,3.0,0.0,3.0,5.0,-1.0,tie,datamanagement
DM-4272,XD-2023,2.0,3.0,-1.0,7.0,1.0,1.0,valid,datamanagement
DM-4273,XD-1657,2.0,5.0,-1.0,3.0,4.0,-1.0,valid,datamanagement
DM-4274,XD-1107,5.0,2.0,1.0,5.0,1.0,1.0,valid,datamanagement
DM-4275,XD-216,8.0,5.0,1.0,6.0,2.0,1.0,valid,datamanagement
DM-4276,MDL-40918,21.0,3.0,1.0,12.0,8.0,1.0,valid,datamanagement
DM-4277,XD-2805,21.0,3.0,1.0,6.0,3.0,1.0,valid,datamanagement
DM-4278,TIMOB-23584,8.0,2.0,1.0,5.0,2.0,1.0,valid,datamanagement
DM-4279,XD-1283,1.0,8.0,-1.0,1.0,4.0,-1.0,valid,datamanagement
DM-4280,TIMOB-19003,1.0,5.0,-1.0,4.0,5.0,-1.0,valid,datamanagement
DM-4281,TIMOB-23697,1.0,5.0,-1.0,1.0,5.0,-1.0,valid,datamanagement
DM-4282,TIMOB-14241,3.0,3.0,0.0,1.0,3.0,-1.0,tie,datamanagement
DM-4283,TIMOB-2099,3.0,3.0,0.0,2.0,1.0,1.0,tie,datamanagement
DM-4284,TISTUD-7132,13.0,3.0,1.0,12.0,5.0,1.0,valid,datamanagement
DM-4286,APSTUD-7318,8.0,5.0,1.0,20.0,8.0,1.0,valid,datamanagement
DM-4287,TDQ-9004,3.0,3.0,0.0,1.0,5.0,-1.0,tie,datamanagement
DM-4288,TDQ-12269,3.0,40.0,-1.0,4.0,2.0,1.0,valid,datamanagement
DM-4289,TISTUD-5768,2.0,5.0,-1.0,1.0,3.0,-1.0,valid,datamanagement
DM-4290,TISTUD-1125,3.0,2.0,1.0,1.0,5.0,-1.0,valid,datamanagement
DM-4291,TDQ-5761,5.0,2.0,1.0,2.0,3.0,-1.0,valid,datamanagement
DM-4294,BAM-6855,5.0,5.0,0.0,15.0,1.0,1.0,tie,datamanagement
DM-4295,TIMOB-23231,8.0,3.0,1.0,8.0,5.0,1.0,valid,datamanagement
DM-4296,MULE-8450,5.0,5.0,0.0,4.0,1.0,1.0,tie,datamanagement
DM-4298,XD-865,2.0,5.0,-1.0,2.0,5.0,-1.0,valid,datamanagement
DM-4299,MDL-38693,3.0,3.0,0.0,4.0,8.0,-1.0,tie,datamanagement
DM-4301,TIMOB-23296,8.0,5.0,1.0,8.0,5.0,1.0,valid,datamanagement
DM-4302,TIMOB-18978,3.0,3.0,0.0,4.0,3.0,1.0,tie,datamanagement
DM-4303,APSTUD-5035,2.0,5.0,-1.0,3.0,8.0,-1.0,valid,datamanagement
DM-4304,MDL-41098,3.0,21.0,-1.0,1.0,20.0,-1.0,valid,datamanagement
DM-4306,TISTUD-1257,8.0,5.0,1.0,60.0,8.0,1.0,valid,datamanagement
DM-4307,TDQ-4037,5.0,3.0,1.0,1.0,13.0,-1.0,valid,datamanagement
